Month_Year,Avg_players,Gain,Percent_Gain,Peak_Players,URL,appid,Date,Game_Name,Genre,price,windows,mac,linux
21-Sep,512350.92,268.96,0.05%,942519,https://steamcharts.com/app/730,730,9/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Aug,512081.96,6014.6,1.19%,802544,https://steamcharts.com/app/730,730,8/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Jul,506067.36,-43279.72,-7.88%,763523,https://steamcharts.com/app/730,730,7/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Jun,549347.08,-110541.81,-16.75%,929940,https://steamcharts.com/app/730,730,6/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-May,659888.89,-63457.63,-8.77%,1087197,https://steamcharts.com/app/730,730,5/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Apr,723346.52,-17581.31,-2.37%,1148077,https://steamcharts.com/app/730,730,4/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Mar,740927.82,-85.42,-0.01%,1198581,https://steamcharts.com/app/730,730,3/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Feb,741013.24,-2196.42,-0.30%,1123485,https://steamcharts.com/app/730,730,2/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
21-Jan,743209.66,25405.91,3.54%,1124553,https://steamcharts.com/app/730,730,1/1/2021,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Dec,717803.75,49049.17,7.33%,1164396,https://steamcharts.com/app/730,730,12/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Nov,668754.58,55087.89,8.98%,1037464,https://steamcharts.com/app/730,730,11/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Oct,613666.69,6816.37,1.12%,943876,https://steamcharts.com/app/730,730,10/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Sep,606850.32,-33107.34,-5.17%,977769,https://steamcharts.com/app/730,730,9/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Aug,639957.66,14056.85,2.25%,925348,https://steamcharts.com/app/730,730,8/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Jul,625900.81,-45746.65,-6.81%,857560,https://steamcharts.com/app/730,730,7/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-Jun,671647.46,-97147.79,-12.64%,1009467,https://steamcharts.com/app/730,730,6/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
20-May,768795.25,-88808.97,-10.36%,1193359,https://steamcharts.com/app/730,730,5/1/2020,Counter Strike: Global Offensive,Action;Free to Play,0.0,True,True,True
